State,District,Market,Commodity,Variety,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price,
Andhra Pradesh,Chittor,Chittoor,Gur(Jaggery),NO 2,14/09/2022,3500,3600,3600,
Andhra Pradesh,Chittor,Kalikiri,Tomato,Local,14/09/2022,1200,3200,2360,
Andhra Pradesh,Chittor,Punganur,Tomato,Hybrid,14/09/2022,3070,3340,3200,
Andhra Pradesh,Chittor,Vayalapadu,Tomato,Local,14/09/2022,1120,4480,2800,
Andhra Pradesh,East Godavari,Ravulapelem,Banana,Amruthapani,14/09/2022,1500,2150,1750,
Andhra Pradesh,East Godavari,Ravulapelem,Banana,Bhushavali(Pacha),14/09/2022,1000,1500,1300,
Andhra Pradesh,East Godavari,Ravulapelem,Banana,Chakkarakeli(Red),14/09/2022,1000,1600,1400,
Andhra Pradesh,East Godavari,Ravulapelem,Banana,Chakkarakeli(White),14/09/2022,1100,1900,1600,
Andhra Pradesh,East Godavari,Ravulapelem,Banana,Desi(Bontha),14/09/2022,1000,1500,1200,
Andhra Pradesh,East Godavari,Ravulapelem,Banana,Karpura,14/09/2022,1250,1850,1650,
Andhra Pradesh,Guntur,Duggirala,Turmeric,Bulb,14/09/2022,4875,5300,5150,
Andhra Pradesh,Guntur,Duggirala,Turmeric,Finger,14/09/2022,5100,6100,5750,
Andhra Pradesh,Kurnool,Adoni,Castor Seed,Castor seed,14/09/2022,5769,6859,6679,
Andhra Pradesh,Kurnool,Adoni,Cotton,Bunny,14/09/2022,5596,10810,9589,
Andhra Pradesh,Kurnool,Adoni,Groundnut,Balli/Habbu,14/09/2022,4006,6907,5659,
Andhra Pradesh,Kurnool,Adoni,Sunflower,Local,14/09/2022,3651,4856,4500,
Andhra Pradesh,Kurnool,Alur,Jowar(Sorghum),Jowar ( White),14/09/2022,2500,2700,2600,
Andhra Pradesh,Kurnool,Atmakur,Maize,Hybrid/Local,14/09/2022,1962,1962,1962,
Andhra Pradesh,Kurnool,Atmakur,Paddy(Dhan)(Common),Sona Mahsuri,14/09/2022,2040,2040,2040,
Andhra Pradesh,Kurnool,Banaganapalli,Bengal Gram(Gram)(Whole),Desi (Whole),14/09/2022,4500,4800,4650,
Andhra Pradesh,Kurnool,Banaganapalli,Jowar(Sorghum),Jowar ( White),14/09/2022,1500,2400,1800,
Andhra Pradesh,Kurnool,Banaganapalli,Paddy(Dhan)(Common),Sona Mahsuri,14/09/2022,1500,2000,1750,
Andhra Pradesh,Kurnool,Dhone,Arhar (Tur/Red Gram)(Whole),777 New Ind,14/09/2022,6600,6600,6600,
Andhra Pradesh,Kurnool,Kurnool,Castor Seed,Other,14/09/2022,4401,6879,5811,
